sentence,label
අර බලපන්කෝ අර පුක දිහා,Bad
අර බලපන්කෝ අරපුක දිහා,Bad
අර බලපන්කෝ අර පුකදිහා,Bad
අර බලපන්කෝ අරපුකදිහා,Bad
අර බලපන්කෝ අර ඉර දිහා,Good
ඉර උදෑසන පායයි,Good 
අර බලන්කෝ අරෙකේ ලස්සන,Good
නිරිත දිශාව දිහා හැරෙන්න,Good
පුකේ හිල ඇතුළට ඇගිල්ල ගහන්න එපා,Bad
පුකේහිල ඇතුළට ඇගිල්ල ගහන්න එපා,Bad
ප්ලග් එකේ හිල ඇතුළට ඇගිල්ල ගන්න එපා,Good
මේ ප්ලග් එකේ මිළ කීයද,Good
පුකේ මයිල් වැවෙන එක සාමාන්‍ය දෙයක්,Bad 
පුකේමයිල් වැවෙන එක සාමාන්‍ය දෙයක්,Bad 
ශරීරයේ මයිල් වැවෙන එක සාමාන්‍ය දෙයක්,Good
රෝගියාගේ ශරීරයේ උෂ්ණත්වය වැඩි වෙන්න දෙන්න එපා,Good
ඔය පුකේ මයිලා ටික ගාලා දාපන්,Bad
ඔයපුකේ මයිලා ටික ගාලා දාපන්,Bad
ඔය පුකේමයිලා ටික ගාලා දාපන්,Bad
ඔයපුකේමයිලා ටික ගාලා දාපන්,Bad
ඔය ඉකිලිවල මයිලා ටික ගාලා දාපන්,Good
ඉකිලිවල දහඩිය දැමීම හේතුවෙන් දුර්ගන්ධයක් ඇති වේ,Good 
ඔය රෙද්ද ගලේ ගාලා අතුලපන්,Good
මගේ සල්ලි ටික දෙන්න,Good 
අද මම ඕකිට පුකේ අරිනවා,Bad
අද මම ඕකිටපුකේ අරිනවා,Bad
අද මම ඕකිට පුකේඅරිනවා,Bad
අද මම ඕකිටපුකේඅරිනවා,Bad
අද මම ඕකිට කනේ අරිනවා,Good
සර් මට ඊයේ කනේ අමාරුව හැදුනා,Good
මම කිව්වා කියල හිතා ගනින්,Good
අද උදේ දහයට පාසල් අරිනවා,Good
හෙට මම ඕකාගේ පුක පලනවා,Bad
හෙට මම ඕකාගේපුක පලනවා,Bad
හෙට මම ඕකාගේ පුකපලනවා,Bad
හෙට මම ඕකාගේපුකපලනවා,Bad
හෙට මම ඕකාගේ කන පලනවා,Good
ඔයාගේ කන ඇහෙන්නේ නැද්ද,Good 
අද ඉරිදා නම් හෙට කවදාද,Good
අම්මා දර පලනවා,Good
දැන ගනින් උබේ ඇට දෙක පුක වටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙකපුක වටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙක පුකවටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙකපුකවටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙක හඳ වටේ කැරකෙන්න දෙන්නේ,Good
පුර පසලොස්වක දවසේ හඳ ලස්සනට බලා ගන්න පුළුවන්,Good
ඇත්ත දැන ගන්න ඕන්නම් අපෙන් අහන්න,Good
පෘථිවිය ඉර වටේ කැරකෙන්න මොකක්ද හේතුව,Good
උබේ පුක සුදුද,Bad
උබේ පුකසුදුද,Bad
උබේපුක සුදුද,Bad
උබේපුකසුදුද,Bad
උබේ අත සුදුද,Good
පොඩ්ඩක් අත දෙන්නකෝ,Good
උබේ නම මොකක්ද,Good
මේ පාට සුදුද,Good
කෝ අපේ පුක්මන්තා,Bad
කෝ අපේපුක්මන්තා,Bad
කෝ අපේ යාළුවෝ,Good
යාළුවෝ ටික සෙට් වෙන්න දවසක් දාගමු,Good
තෝ දන්න පක තමා,Bad
තෝ දන්න පකතමා,Bad
තෝ දන්නපක තමා,Bad
තෝ දන්නපකතමා,Bad
තෝ දන්න ඔච්චර තමා,Good
මම නම් කලේ ඔච්චර තමා,Good 
තෝ තමා දවසකටවත් මිනිහා,Good
තෝ හුතුවද මම මෝඩයෙක් කියල,Good
ඒක මහ පකේ කතාවක් නේ,Bad
ඒක මහ පකේකතාවක් නේ,Bad
ඒක මහපකේ කතාවක් නේ,Bad
ඒක මහපකේකතාවක් නේ,Bad
ඒක මහ මෝඩ කතාවක් නේ,Good
මට උබේ මෝඩ වැඩ නම් දැන් ඇති වෙලා තියෙන්නේ,Good 
ඒක නම් මගේ කැමතිම කතාවක්,Good
ඒ මහ විශාල සතා මොකාද,Good
මේක ඔය හිටියට මහ පකයා බං,Bad
මේක ඔය හිටියට මහපකයා බං,Bad
මේක ඔය හිටියට මහ පකයාබං,Bad
මේක ඔය හිටියට මහපකයාබං,Bad
මේක ඔය හිටියට මහ බල්ලා බං,Good
බල්ලා සොරුන් දැක බුරයි,Good
ඔය හිටියට මහා බයගුල්ලා,Good
ඔයාට කියන්න පුළුවන්ද අනාගතේ,Good
පකය මෙහේ වරෙන්,Bad
පකයමෙහේ වරෙන්,Bad
මල්ලි මෙහේ වරෙන්,Good
