sentence,label
Ah fuck the kettle’s broken how am I going to make tea?,Bad
Ahfuck the kettle’s broken how am I going to make tea?,Bad
Ah fuckthe kettle’s broken how am I going to make tea?,Bad
Ahfuckthe kettle’s broken how am I going to make tea?,Bad
Ah god the kettle’s broken how am I going to make tea?,Good
I don't belive the god,Good
There is the kettle,Good
Would you like to drink a cup of tea?,Good
Fuck off man from my apartment,Bad
Fuckoff man from my apartment,Bad
Run off man from my apartment,Good
Don't look back go and run come on,Good
Oh piss off Greg,Bad
Ohpiss off Greg,Bad
Oh pissoff Greg,Bad
Ohpissoff Greg,Bad
Oh kick off Greg,Good
You'll be kick out from the game,Good
Oh That's the reality,Good
Greg is my friend,Good
Piss off he never comes out on Wednesdays,Bad
Pissoff he never comes out on Wednesdays,Bad
Go off he never comes out on Wednesdays,Good
We've to go now,Good
Oh bugger off,Bad
Ohbugger off,Bad
Oh buggeroff,Bad
Ohbuggeroff,Bad
Oh make off,Good
You make me evil,Good
Please switch off this light,Good
Did you power off the television?,Good
Bloody hell Yuri’s lost the tickets to the concert,Bad
Bloodyhell Yuri’s lost the tickets to the concert,Bad
What's the hell Yuri’s lost the tickets to the concert,Good
What's the umbrella?,Good
Yuri what the bloody hell have you done?,Bad
Yuri what thebloody hell have you done?,Bad
Yuri what the bloodyhell have you done?,Bad
Yuri what thebloodyhell have you done?,Bad
Yuri what the hell have you done?,Good
Hell's so hot,Good
Who's Youri I dunno him or her,Good
I've done this before,Good
The bastard cheated on me,Bad
Thebastard cheated on me,Bad
The bastardcheated on me,Bad
Thebastardcheated on me,Bad
The girl cheated on me,Good
She loves that girl,Good
They cheated in this chess game,Good
Would you like me?,Good
Commuting into London every day is a bastard,Bad
Commuting into London every day is abastard,Bad
Commuting into London every day is a boy,Good
You're the ma boy,Good
Ah Yuri you wanker how did you lose the tickets?,Bad
Ah Yuri youwanker how did you lose the tickets?,Bad
Ah Yuri you wankerhow did you lose the tickets?,Bad
Ah Yuri youwankerhow did you lose the tickets?,Bad
Ah Yuri you looser how did you lose the tickets?,Good
I don't want to be a looser in this competition,Good
Where can we buy the tickets,Good
In this time the master of football will lose in his first match,Good
Bollocks! You were playing computer games for most of the morning,Bad
Bollocks!You were playing computer games for most of the morning,Bad
BollocksYou were playing computer games for most of the morning,Bad
Man! You were playing computer games for most of the morning,Good
He'll be a man of the tournament,Good
How much is this computer?,Good
