sentence,label
ara balapanko ara puka diha,Bad
ara balapanko arapuka diha,Bad
ara balapanko ara pukadiha,Bad
ara balapanko arapukadiha,Bad
ara balapanko ara ira diha,Good
ira udesana payayi,Good 
ara balanko areke lassana,Good
niritha dishawa diha herenna,Good
puke hila ethulata egilla gahanna epa,Bad
pukehila ethulata egilla gahanna epa,Bad
plag eke hila ethulata egilla ganna epa,Good
me plag eke mila keeyada,Good
puke mayil wewena eka samanya deyak,Bad 
pukemayil wewena eka samanya deyak,Bad 
shareeraye mayil wewena eka samanya deyak,Good
rogiyage shareeraye ushnathwaya wedi wenna denna epa,Good
oya puke mayila tika gala dapan,Bad
oyapuke mayila tika gala dapan,Bad
oya pukemayila tika gala dapan,Bad
oyapukemayila tika gala dapan,Bad
oya ikiliwala mayila tika gala dapan,Good
ikiliwala dahadiya demeema hethuwen durgandhayak ethi we,Good 
oya redda gale gala athulapan,Good
mage salli tika denna,Good 
ada mama okita puke arinawa,Bad
ada mama okitapuke arinawa,Bad
ada mama okita pukearinawa,Bad
ada mama okitapukearinawa,Bad
ada mama okita kane arinawa,Good
sar mata eeye kane amaruwa heduna,Good
mama kiwwa kiyala hitha ganin,Good
ada ude dahayata pasal arinawa,Good
heta mama okage puka palanawa,Bad
heta mama okagepuka palanawa,Bad
heta mama okage pukapalanawa,Bad
heta mama okagepukapalanawa,Bad
heta mama okage kana palanawa,Good
oyage kana ehenne nedda,Good 
ada irida nam heta kawadada,Good
amma dara palanawa,Good
dena ganin ube eta deka puka wate kerakenna denne,Bad
dena ganin ube eta dekapuka wate kerakenna denne,Bad
dena ganin ube eta deka pukawate kerakenna denne,Bad
dena ganin ube eta dekapukawate kerakenna denne,Bad
dena ganin ube eta deka handa wate kerakenna denne,Good
pura pasaloswaka dawase handa lassanata bala ganna puluwan,Good
eththa dena ganna onnam apen ahanna,Good
pruthiwiya ira wate kerakenna mokakda hethuwa,Good
ube puka sududa,Bad
ube pukasududa,Bad
ubepuka sududa,Bad
ubepukasududa,Bad
ube atha sududa,Good
poddak atha dennako,Good
ube nama mokakda,Good
me pata sududa,Good
ko ape pukmantha,Bad
ko apepukmantha,Bad
ko ape yaluwo,Good
yaluwo tika set wenna dawasak dagamu,Good
tho danna paka thama,Bad
tho danna pakathama,Bad
tho dannapaka thama,Bad
tho dannapakathama,Bad
tho danna ochchara thama,Good
mama nam kale ochchara thama,Good 
tho thama dawasakatawath miniha,Good
tho huthuwada mama modayek kiyala,Good
eka maha pake kathawak ne,Bad
eka maha pakekathawak ne,Bad
eka mahapake kathawak ne,Bad
eka mahapakekathawak ne,Bad
eka maha moda kathawak ne,Good
mata ube moda weda nam den ethi wela thiyenne,Good 
eka nam mage kemathima kathawak,Good
e maha wishala satha mokada,Good
meka oya hitiyata maha pakaya ban,Bad
meka oya hitiyata mahapakaya ban,Bad
meka oya hitiyata maha pakayaban,Bad
meka oya hitiyata mahapakayaban,Bad
meka oya hitiyata maha balla ban,Good
balla sorun deka burayi,Good
oya hitiyata maha bayagulla,Good
oyata kiyanna puluwanda anagathe,Good
pakaya mehe waren,Bad
pakayamehe waren,Bad
malli mehe waren,Good
malli me para kohetada,Good
oya pakata gahala balanna,Bad
oyapakata gahala balanna,Bad
oya pakatagahala balanna,Bad
oyapakatagahala balanna,Bad
oya meseta gahala balanna,Good
meseta eha peththe ethi eka,Good
nayata gahala polla waradda ganna epa,Good
poddak kalpana karala balanna,Good 
pako man kiyana de ahapiya,Bad
pakoman kiyana de ahapiya,Bad
ado man kiyana de ahapiya,Good
ado mata ubata kiyanna amathaka wuna,Good 
me ponnaya thamayi me okkoma karanne,Bad
meponnaya thamayi me okkoma karanne,Bad
me ponnayathamayi me okkoma karanne,Bad
meponnayathamayi me okkoma karanne,Bad
me lamaya thamayi me okkoma karanne,Good
lamaya pasale gedara weda hondin kaleya,Good 
me okkoma apita dunna gedara weda,Good
mata hitha ganna be eya meka karanne eyi kiyala,Good
payikota moko me para wune,Bad
payikotamoko me para wune,Bad
wasantha moko me para wune,Good
wasantha ath adanguwata pathwina,Good 
me mage payiya loku kara ganna widiyak kiyahanko,Bad
me magepayiya loku kara ganna widiyak kiyahanko,Bad
me mage payiyaloku kara ganna widiyak kiyahanko,Bad
me magepayiyaloku kara ganna widiyak kiyahanko,Bad
me mage enga loku kara ganna widiyak kiyahanko,Good
ada nam enga tikak ridenawa,Good 
mata one loku wahanayak padinna,Good
meka karanna mokak hari wena widiyak ethi,Good
mage payiya allanna epa,Bad
magepayiya allanna epa,Bad
mage payiyaallanna epa,Bad
magepayiyaallanna epa,Bad
mage athin allanna epa,Good
e athin aru kiyana kathawath hari,Good
bithu sithuwam allanna epa,Good
epa kiyana de karanna epa,Good
oya nam niyameta lowanawa,Bad
oya nam niyametalowanawa,Bad
oya nam niyameta karanawa,Good
kamkaruwo pare weda karanawa,Good 
ada nam dennatama hukanawa,Bad
ada nam dennatamahukanawa,Bad
ada nam dennatama kiyanawa,Good
ekko mata witharak oka kiyanawa,Good
taukanawa eka ehema unada,Bad
taukanawaeka ehema unada,Bad
eththatama eka ehema unada,Good
eththatama kiyanne mama eyata kemathi ne,Good 
ane hukapan mahaththayo,Bad
ane hukapanmahaththayo,Bad
anehukapan mahaththayo,Bad
anehukapanmahaththayo,Bad
ane dennako mahaththayo,Good
mahaththayo oka aran rupiyal seeyak denna,Good 
ane man den mokada karanne appa,Good
mahaththayo mata niwaduwak one,Good
ane nona hukanna hadanna epa,Bad
ane nona hukannahadanna epa,Bad
ane nonahukanna hadanna epa,Bad
ane nonahukannahadanna epa,Bad
ane nona ranganna hadanna epa,Good
apith dannawa oyita wada hodata ranganna,Good 
nona gedara wena kawuda inne,Good
ane meka puluwan nam hadanna,Good
me inne ape hukanna,Bad
me inne apehukanna,Bad
me inne ape pusa,Good
pusa den meeyo allanne ne,Good
u danna huththa thama,Bad
u dannahuththa thama,Bad
u danna huththathama,Bad
u dannahuththathama,Bad
u danna labba thama,Good
me labba mata denna,Good 
thama upama kota an aya gena sithanna,Good
u gena wediya hithanna epa,Good
me huththa thamayi mata penna beri eka,Bad
me huththathamayi mata penna beri eka,Bad
mehuththa thamayi mata penna beri eka,Bad
mehuththathamayi mata penna beri eka,Bad
me yaka thamayi mata penna beri eka,Good
ada nam yaka natayi wage,Good 
api thamayi methana inna adeewaseen,Good
mama kiwwa neda penna adinna epa kiyala,Good
ane pala huththige putha,Bad
ane palahuththige putha,Bad
ane pala huththigeputha,Bad 
ane palahuththigeputha,Bad   
ane pala moda putha,Good
nishantha moda kathamayi kiyanne,Good
pala nokiya pala bedanawa kiyanne okata thama,Good
ane nada hindin mage puthe,Good
magen ahaganna hadanna epa huththige putha,Bad 
magen ahaganna hadanna epahuththige putha,Bad
magen ahaganna hadanna epa huththigeputha,Bad
magen ahaganna hadanna epahuththigeputha,Bad   
magen ahaganna hadanna epa buru putha,Good
buru weda karana eke seemawak thiya ganna one,Good
magen wenna ona deyak thiyenawa nam kiyanna,Good
eka me nendagen ahaganna,Good
chalitha kiyana huththige kolla hithan inne u thama pora kiyala,Bad
chalitha kiyanahuththige kolla hithan inne u thama pora kiyala,Bad
chalitha kiyana huththigekolla hithan inne u thama pora kiyala,Bad
chalitha kiyanahuththigekolla hithan inne u thama pora kiyala,Bad
chalitha kiyana me kolla hithan inne u thama pora kiyala,Good
me dawas wala reta wahinawa,Good 
kolla moko wenne me peththe,Good
aluth awurudu charithrayak lesa pora pol geseema sidu karayi,Good
oya huththik kolla thama mata yanna dunneththe,Bad
oya huththikkolla thama mata yanna dunneththe,Bad
oyahuththik kolla thama mata yanna dunneththe,Bad
oyahuththikkolla thama mata yanna dunneththe,Bad
oya nede kolla thama mata yanna dunneththe,Good
nede kiyana ekekwath mama ganan ganne,Good 
oya kolla methana mokada karanne,Good
eyi oya mata eda methanin yanna dunneththe,Good
uththi tho pala gedara,Bad
uththitho pala gedara,Bad
nangi tho pala gedara,Good
nangi malwalata wathura demuwaya,Good 
uththiye mama neme enna kiwwe,Bad
uththiyemama neme enna kiwwe,Bad
ayiye mama neme enna kiwwe,Good
ayiye meka poddak alla ganna,Good 
uththik kolla thamusege wedak bala gannawa,Bad
uththikkolla thamusege wedak bala gannawa,Bad
podi kolla thamusege wedak bala gannawa,Good
podi kathawak dala ennam,Good 
aliya henata ewith hukanawa,Bad
aliya henata ewithhukanawa,Bad
aliya henata ewith yanawa,Good
api heta kolamba yanawa,Good
podi eka nangita hukanawa,Bad
podi eka nangitahukanawa,Bad
podi eka nangi gahanawa,Good
sereppuwalata adi gahanawa,Good
gotukola hukanna adath ewith,Bad 
gotukolahukanna adath ewith,Bad 
gotukola hukannaadath ewith,Bad
gotukolahukannaadath ewith,Bad  
gotukola mama adath ewith,Good
mama bomuda seethala wathuru weeduruwak,Good
sudu edagena kalu ewith,Good
adath mokada methana karanne,Good
apo wambatu payiya enawa me peththata,Bad
apo wambatupayiya enawa me peththata,Bad
apo wambatu payiyaenawa me peththata,Bad
apo wambatupayiyaenawa me peththata,Bad
apo wambatu ranil enawa me peththata,Good
ranil deyiyo rata karanawa on balanna,Good 
mama kagewath peththata adinne,Good
mokuth onne mehe enawa ikmanata,Good
para wesi thama okkoma methana karanne,Bad
parawesi thama okkoma methana karanne,Bad
para wesithama okkoma methana karanne,Bad
parawesithama okkoma methana karanne,Bad
para sudda thama okkoma methana karanne,Good
me tenki sudda kohenda gaththe,Good  
para gethi kamata mona karannada,Good
methana mokakda wenne kiyala mata pehedili karala denna,Good
